Date,Commodity,State,District,Market,Minimum Price,Maximum Price,Modal Price,Temperature,Rainfall,Humidity
2023-01-01,Brinjal,Andhra Pradesh,East Godavari,East Godavari Main Market,27,34,32,25.546120320097565,13.03599222825919,59.161140965322375
2023-01-01,Carrot,Telangana,Medchal,Medchal Main Market,29,35,33,16.51249584802901,2.644679707437836,53.72833896013953
2023-01-01,Brinjal,Maharashtra,Pune,Pune Main Market,31,37,34,15.896126679859464,18.80731985942884,48.96994234736574
2023-01-01,Tomato,Maharashtra,Pune,Pune Main Market,23,28,26,20.859665363999106,6.288516029321305,48.626878388234985
2023-01-01,Potato,Telangana,Hyderabad,Hyderabad Main Market,16,19,18,18.49957262646293,7.810348741744115,45.552257199145885
2023-01-01,Potato,Karnataka,Belgaum,Belgaum Main Market,15,18,17,16.679798444753082,0.4579231823238472,51.70178615803452
2023-01-01,Carrot,Karnataka,Mangalore,Mangalore Main Market,35,46,41,27.62824582748796,14.463540373460654,57.93509978237418
2023-01-01,Potato,Telangana,Medchal,Medchal Main Market,21,26,25,22.25189998996083,11.316987198277273,65.24419400976663
2023-01-01,Onion,Maharashtra,Mumbai,Mumbai Main Market,24,29,26,16.581830272018657,12.871393266122787,62.02394319770872
2023-01-01,Mango,Andhra Pradesh,West Godavari,West Godavari Main Market,90,114,100,20.894356142117825,3.3104062788736655,65.43221757834829
2023-01-02,Mango,Telangana,Hyderabad,Hyderabad Main Market,76,96,86,20.06524953572778,19.83805720769552,55.18195897931061
2023-01-02,Banana,Maharashtra,Mumbai,Mumbai Main Market,45,55,51,20.832082187445298,6.085641344334334,58.74822642055129
2023-01-02,Potato,Maharashtra,Aurangabad,Aurangabad Main Market,17,22,20,22.97698357918224,8.69787237019628,54.9647330466098
2023-01-02,Cabbage,Tamil Nadu,Madurai,Madurai Main Market,20,24,23,20.867727423408898,17.01210039460384,44.01152372361098
2023-01-02,Apple,Karnataka,Bangalore Urban,Bangalore Urban Main Market,87,106,101,19.872983845349797,11.017042759467188,47.365128046998535
2023-01-03,Tomato,Maharashtra,Nashik,Nashik Main Market,24,30,27,21.87368795729133,4.881420535970687,49.21730159871316
2023-01-03,Tomato,Andhra Pradesh,West Godavari,West Godavari Main Market,26,30,28,16.867856140905882,19.077845912920303,57.26799687750947
2023-01-03,Mango,Maharashtra,Nagpur,Nagpur Main Market,63,77,71,18.922486280482303,4.849211019206434,56.61523017349809
2023-01-03,Potato,Tamil Nadu,Chennai,Chennai Main Market,18,22,21,24.592914123997737,9.816870721331645,65.56268717469864
2023-01-04,Carrot,Tamil Nadu,Chennai,Chennai Main Market,34,39,37,21.843464217452826,8.58305581921762,51.40592238686175
2023-01-04,Mango,Maharashtra,Pune,Pune Main Market,92,111,99,24.817561396175147,11.809793939235862,51.50148072214263
2023-01-04,Brinjal,Andhra Pradesh,Guntur,Guntur Main Market,29,35,32,15.775631219680417,1.2001316038330456,63.64653902037913
2023-01-04,Onion,Karnataka,Bangalore Urban,Bangalore Urban Main Market,31,39,35,25.208271624764908,5.2082278245259195,69.26268798383217
2023-01-04,Banana,Telangana,Ranga Reddy,Ranga Reddy Main Market,40,52,46,21.616454216244346,10.8781920812065,40.99090822005872
2023-01-04,Apple,Tamil Nadu,Salem,Salem Main Market,101,130,114,19.151072923604183,3.0395500821005594,61.94135532914082
2023-01-04,Banana,Karnataka,Bangalore Urban,Bangalore Urban Main Market,40,47,44,20.761550398750014,18.80084891377151,68.37575311977452
2023-01-04,Cabbage,Andhra Pradesh,West Godavari,West Godavari Main Market,17,21,20,27.209569691742566,18.077937525493294,67.22816034603822
2023-01-04,Apple,Maharashtra,Nagpur,Nagpur Main Market,99,125,110,27.023035649533362,7.930334521689826,48.37835591905174
2023-01-05,Onion,Karnataka,Mangalore,Mangalore Main Market,34,40,38,16.87419366582181,7.377480910493683,62.30216964677621
2023-01-05,Apple,Karnataka,Belgaum,Belgaum Main Market,111,146,131,16.506158767624665,10.520138581004908,61.10598674602422
2023-01-05,Brinjal,Telangana,Hyderabad,Hyderabad Main Market,33,40,37,18.54055478430258,0.6462929907897874,42.12077577576787
2023-01-05,Tomato,Andhra Pradesh,West Godavari,West Godavari Main Market,21,25,23,24.80779404335796,11.279902397916246,58.593296785082075
2023-01-05,Carrot,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Main Market,42,47,45,20.029487463595387,10.449945552692343,57.52373697700002
2023-01-05,Tomato,Andhra Pradesh,Visakhapatnam,Visakhapatnam Main Market,22,26,25,17.834733891709323,18.964507641840232,51.5283255912488
2023-01-05,Mango,Tamil Nadu,Chennai,Chennai Main Market,63,74,69,26.689395391067663,6.857936549197015,57.02692170606475
2023-01-05,Tomato,Tamil Nadu,Chennai,Chennai Main Market,18,22,20,21.35916824205528,7.315900788437835,45.335260045462924
2023-01-05,Potato,Tamil Nadu,Chennai,Chennai Main Market,14,18,17,17.05771696861933,5.08411677175558,48.758406390650975
2023-01-06,Brinjal,Karnataka,Hubli,Hubli Main Market,29,38,34,25.274095972785766,11.764576796614449,52.6989973219126
