Date,Commodity,State,District,Market,Minimum Price,Maximum Price,Modal Price,Temperature,Rainfall,Humidity
2023-01-01,Green Chilli,Telangana,Ranga Reddy,Ranga Reddy Main Market,56,71,64,15.963294950090894,0.521954992245548,40.79616638153411
2023-01-01,Tomato,Karnataka,Mangalore,Mangalore Main Market,22,28,26,24.187855985038237,1.798971442516879,66.46896065639233
2023-01-01,Garlic,Karnataka,Belgaum,Belgaum Main Market,207,260,229,26.89270403318159,13.7173678096017,61.55672003444774
2023-01-01,Watermelon,Maharashtra,Mumbai,Mumbai Main Market,22,26,25,22.901066022256686,2.9766903738991535,62.538594386543934
2023-01-01,Garlic,Telangana,Warangal,Warangal Main Market,145,179,157,15.778295717069348,1.7452081616177018,48.186177274320784
2023-01-01,Green Chilli,Tamil Nadu,Coimbatore,Coimbatore Main Market,58,68,64,23.677135773956902,4.517870276760343,59.14637055489834
2023-01-01,Cabbage,Maharashtra,Pune,Pune Main Market,15,18,17,24.07475890181114,12.889667515123055,51.15769030291909
2023-01-01,Banana,Maharashtra,Nagpur,Nagpur Main Market,44,50,48,23.752315423983013,6.3426356772832975,66.62918142969424
2023-01-01,Tomato,Karnataka,Belgaum,Belgaum Main Market,26,32,30,19.31471675851422,18.566145853021236,53.06148846437459
2023-01-01,Orange,Tamil Nadu,Salem,Salem Main Market,40,54,48,16.779290872946785,14.134024489702552,67.91845294406528
2023-01-01,Green Chilli,Tamil Nadu,Salem,Salem Main Market,53,65,57,20.360832698597253,15.21038727908396,53.561298722858496
2023-01-01,Brinjal,Tamil Nadu,Chennai,Chennai Main Market,22,26,24,15.706861264697105,14.32241827916136,41.29025947073226
2023-01-01,Mango,Telangana,Medchal,Medchal Main Market,69,85,78,22.811643692640857,13.239294920339947,63.60515151900477
2023-01-01,Grapes,Karnataka,Bangalore Urban,Bangalore Urban Main Market,79,93,86,21.640354756453206,13.182699288705116,65.86798535737813
2023-01-02,Potato,Tamil Nadu,Salem,Salem Main Market,15,18,16,22.6238449637611,8.625044153548679,53.78024131699516
2023-01-02,Onion,Tamil Nadu,Coimbatore,Coimbatore Main Market,32,39,35,17.95571432920405,8.617040253374377,57.56745018437812
2023-01-02,Papaya,Telangana,Warangal,Warangal Main Market,32,40,36,22.758735312292927,6.083215027985521,58.70256586611941
2023-01-02,Watermelon,Telangana,Medchal,Medchal Main Market,14,17,16,27.730484860496627,17.39136056027378,67.35270610573461
2023-01-02,Cabbage,Maharashtra,Pune,Pune Main Market,21,28,25,19.735729766271046,6.695156497142678,47.78553500127859
